date,tda_fb_t_01,tda_fb_t_02,tda_fb_t_03,tda_fb_t_04,tda_fb_t_05,tda_fb_t_06,tda_fb_t_07,tda_fb_t_08,tda_fb_t_09,tda_fb_t_10,tda_fb_t_11,tda_fb_t_12,tda_fb_t_13,tda_fb_t_14,tda_fb_t_15,tda_fb_t_16,tda_fb_t_17,tda_fb_t_18,tda_fb_t_19,tda_fb_t_20,tda_fb_t_21,tda_fb_t_22,tda_fb_t_23,tda_fb_t_24
2008-03-24 12:00:00,102.883355,103.149606,103.28084,103.416557,103.285151,103.416557,103.149606,103.018373,102.887139,102.755906,102.755906,102.755906,102.624672,102.624672,102.624672,102.624672,102.624672,102.493438,102.624672,102.624672,102.755906,102.887139,103.285151,103.416557
2008-03-24 13:00:00,103.149606,103.28084,103.416557,103.285151,103.416557,103.149606,103.018373,102.887139,102.755906,102.755906,102.755906,102.624672,102.624672,102.624672,102.624672,102.624672,102.493438,102.624672,102.624672,102.755906,102.887139,103.285151,103.416557,103.684211
2008-03-24 14:00:00,103.28084,103.416557,103.285151,103.416557,103.149606,103.018373,102.887139,102.755906,102.755906,102.755906,102.624672,102.624672,102.624672,102.624672,102.624672,102.493438,102.624672,102.624672,102.755906,102.887139,103.285151,103.416557,103.684211,103.952569
2008-03-24 15:00:00,103.416557,103.285151,103.416557,103.149606,103.018373,102.887139,102.755906,102.755906,102.755906,102.624672,102.624672,102.624672,102.624672,102.624672,102.493438,102.624672,102.624672,102.755906,102.887139,103.285151,103.416557,103.684211,103.952569,103.815789
2008-03-24 16:00:00,103.285151,103.416557,103.149606,103.018373,102.887139,102.755906,102.755906,102.755906,102.624672,102.624672,102.624672,102.624672,102.624672,102.493438,102.624672,102.624672,102.755906,102.887139,103.285151,103.416557,103.684211,103.952569,103.815789,103.684211
2008-03-24 17:00:00,103.416557,103.149606,103.018373,102.887139,102.755906,102.755906,102.755906,102.624672,102.624672,102.624672,102.624672,102.624672,102.493438,102.624672,102.624672,102.755906,102.887139,103.285151,103.416557,103.684211,103.952569,103.815789,103.684211,103.820817
2008-03-24 18:00:00,103.149606,103.018373,102.887139,102.755906,102.755906,102.755906,102.624672,102.624672,102.624672,102.624672,102.624672,102.493438,102.624672,102.624672,102.755906,102.887139,103.285151,103.416557,103.684211,103.952569,103.815789,103.684211,103.820817,103.820817
2008-03-24 19:00:00,103.018373,102.887139,102.755906,102.755906,102.755906,102.624672,102.624672,102.624672,102.624672,102.624672,102.493438,102.624672,102.624672,102.755906,102.887139,103.285151,103.416557,103.684211,103.952569,103.815789,103.684211,103.820817,103.820817,103.689065
2008-03-24 20:00:00,102.887139,102.755906,102.755906,102.755906,102.624672,102.624672,102.624672,102.624672,102.624672,102.493438,102.624672,102.624672,102.755906,102.887139,103.285151,103.416557,103.684211,103.952569,103.815789,103.684211,103.820817,103.820817,103.689065,103.42556
2008-03-24 21:00:00,102.755906,102.755906,102.755906,102.624672,102.624672,102.624672,102.624672,102.624672,102.493438,102.624672,102.624672,102.755906,102.887139,103.285151,103.416557,103.684211,103.952569,103.815789,103.684211,103.820817,103.820817,103.689065,103.42556,103.293808
2008-03-24 22:00:00,102.755906,102.755906,102.624672,102.624672,102.624672,102.624672,102.624672,102.493438,102.624672,102.624672,102.755906,102.887139,103.285151,103.416557,103.684211,103.952569,103.815789,103.684211,103.820817,103.820817,103.689065,103.42556,103.293808,103.42556
2008-03-24 23:00:00,102.755906,102.624672,102.624672,102.624672,102.624672,102.624672,102.493438,102.624672,102.624672,102.755906,102.887139,103.285151,103.416557,103.684211,103.952569,103.815789,103.684211,103.820817,103.820817,103.689065,103.42556,103.293808,103.42556,103.430079
2008-03-25 00:00:00,102.624672,102.624672,102.624672,102.624672,102.624672,102.493438,102.624672,102.624672,102.755906,102.887139,103.285151,103.416557,103.684211,103.952569,103.815789,103.684211,103.820817,103.820817,103.689065,103.42556,103.293808,103.42556,103.430079,103.430079
2008-03-25 01:00:00,102.624672,102.624672,102.624672,102.624672,102.493438,102.624672,102.624672,102.755906,102.887139,103.285151,103.416557,103.684211,103.952569,103.815789,103.684211,103.820817,103.820817,103.689065,103.42556,103.293808,103.42556,103.430079,103.430079,103.298153
2008-03-25 02:00:00,102.624672,102.624672,102.624672,102.493438,102.624672,102.624672,102.755906,102.887139,103.285151,103.416557,103.684211,103.952569,103.815789,103.684211,103.820817,103.820817,103.689065,103.42556,103.293808,103.42556,103.430079,103.430079,103.298153,103.43461
